======================================================================
TRADING BOT LOG FILE
======================================================================

[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-19 23:00:00, Price: 23396.62, Cash: $0.00, Position: 0.39415, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=67.08, BB_Lower=20304.62, KAMA=21720.16, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-20 15:00:00, Price: 24172.63, New Balance: $9527.60, PnL: $305.86 (3.32%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=72.05, BB_Lower=20347.83, KAMA=22490.35, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-20 19:00:00, Price: 23660.38, Cash: $0.00, Position: 0.40268, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=64.40, BB_Lower=20424.39, KAMA=22674.86, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-21 03:00:00, Price: 22777.20, New Balance: $9171.96, PnL: $-355.64 (-3.73%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=53.45, BB_Lower=20821.41, KAMA=22731.73, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-21 11:00:00, Price: 22606.04, Cash: $0.00, Position: 0.40573, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=51.21, BB_Lower=21369.43, KAMA=22726.91, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-25 03:00:00, Price: 21867.75, New Balance: $8872.41, PnL: $-299.55 (-3.27%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=39.52, BB_Lower=21868.69, KAMA=22595.42, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-25 11:00:00, Price: 21941.25, Cash: $0.00, Position: 0.40437, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=40.89, BB_Lower=21688.05, KAMA=22565.73, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-25 23:00:00, Price: 21310.90, New Balance: $8617.52, PnL: $-254.90 (-2.87%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=33.05, BB_Lower=21503.11, KAMA=22209.11, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-26 03:00:00, Price: 21141.53, Cash: $0.00, Position: 0.40761, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=31.30, BB_Lower=21284.65, KAMA=21939.49, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-26 15:00:00, Price: 20746.81, New Balance: $8456.63, PnL: $-160.89 (-1.87%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=27.52, BB_Lower=20740.00, KAMA=21187.71, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-08-01 11:00:00, Price: 23227.79, Cash: $0.00, Position: 0.36407, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=46.06, BB_Lower=23168.09, KAMA=23621.29, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-08-04 19:00:00, Price: 22451.24, New Balance: $8173.90, PnL: $-282.72 (-3.34%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=37.88, BB_Lower=22531.03, KAMA=23249.75, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-08-05 15:00:00, Price: 22988.25, Cash: $0.00, Position: 0.35557, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=48.34, BB_Lower=22503.04, KAMA=23231.25, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-08-06 23:00:00, Price: 22954.21, New Balance: $8161.80, PnL: $-12.10 (-0.15%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=46.62, BB_Lower=22559.21, KAMA=23215.28, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-08-10 19:00:00, Price: 23638.95, Cash: $0.00, Position: 0.34527, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=54.83, BB_Lower=22611.49, KAMA=23313.03, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-08-17 15:00:00, Price: 23391.90, New Balance: $8076.50, PnL: $-85.30 (-1.05%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=35.91, BB_Lower=23443.93, KAMA=23917.35, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-08-18 15:00:00, Price: 23452.28, Cash: $0.00, Position: 0.34438, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=40.31, BB_Lower=23170.70, KAMA=23618.65, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-08-18 19:00:00, Price: 23344.88, New Balance: $8039.52, PnL: $-36.99 (-0.46%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=38.06, BB_Lower=23119.68, KAMA=23576.69, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-09-13 15:00:00, Price: 20829.77, Cash: $0.00, Position: 0.38596, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=40.29, BB_Lower=20908.09, KAMA=21990.20, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-09-13 19:00:00, Price: 20283.58, New Balance: $7828.71, PnL: $-210.81 (-2.62%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=34.85, BB_Lower=20648.42, KAMA=21859.19, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-09-13 23:00:00, Price: 20173.57, Cash: $0.00, Position: 0.38807, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=33.86, BB_Lower=20406.38, KAMA=21567.92, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-09-14 19:00:00, Price: 19952.11, New Balance: $7742.76, PnL: $-85.94 (-1.10%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=32.43, BB_Lower=19445.79, KAMA=20559.36, ST_DIR=-1
